Column1.1,Column1.2,Column1.3,Column1.4,Column1.5,Column1.6,Column1.7,Column1.8,Column1.9,Column1.10,Column1.11,Column1.12,Column1.13,Column1.14,Column1.15,Column1.16,Column1.17,Column1.18,Column1.19,Column1.20,Column1.21,Column1.22,Column1.23,Column1.24,Column1.25,Column1.26,Column1.27,Column1.28,Column1.29,Column1.30,Column1.31,Column1.32,Column1.33,Column1.34,Column1.35,Column1.36,Column1.37,Column1.38,Column1.39,Column1.40,Column1.41,Column1.42,Column1.43,Column1.44,Column1.45,Column1.46,Column1.47,Column1.48
CHEMBL611621,,None,331.38,0,1.97,30,N#Cc1ccc(CC(=O)N2CCc3cccc4c3C2CNC4=O)cc1,IC50,'=',9.0,nM,8.05,,,UO_0000065,24.28,0.44,6.08,10.99,0,CHEMBL1074647,Inhibition of human PARP1 by scintillation proximity assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1153250,1,Scientific Literature,Bioorg Med Chem Lett,2010,None,,,,"9.0,,,,,,,,,,,,,,,"
CHEMBL593593,,None,307.35,0,1.49,32,O=C1NCC2c3c(cccc31)CCN2C(=O)Cc1ccncc1,IC50,'=',10.0,nM,8.00,,,UO_0000065,26.03,0.48,6.51,12.84,0,CHEMBL1074647,Inhibition of human PARP1 by scintillation proximity assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1153250,1,Scientific Literature,Bioorg Med Chem Lett,2010,None,,,,"10.0,,,,,,,,,,,,,,,"
CHEMBL596389,,None,306.36,0,2.10,9,O=C1NCC2c3c(cccc31)CCN2C(=O)Cc1ccccc1,IC50,'=',8.0,nM,8.10,,,UO_0000065,26.43,0.48,6.00,16.39,0,CHEMBL1074647,Inhibition of human PARP1 by scintillation proximity assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1153250,1,Scientific Literature,Bioorg Med Chem Lett,2010,None,,,,"8.0,,,,,,,,,,,,,,,"
CHEMBL599596,,None,424.26,0,3.14,13,O=C(c1cc(Cc2c[nH]c(=O)c3cc(Cl)c(Cl)n23)ccc1F)N1CCOCC1,IC50,'=',59.0,nM,7.23,,,UO_0000065,17.04,0.35,4.09,10.82,0,CHEMBL1069748,Inhibition of PARP1 by topcount microplate scintillation counter,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1158513,1,Scientific Literature,Bioorg Med Chem Lett,2010,None,,,,"59.0,,,,,,,,,,,,,,,"
CHEMBL605929,,None,385.37,0,1.90,49,CN1CC(C(=O)Nc2ccc(-n3cc4cc(F)cc(C(N)=O)c4n3)cc2F)C1,IC50,'=',6.0,nM,8.22,,,UO_0000065,21.33,0.40,6.32,8.82,0,CHEMBL1065327,Inhibition of human PARP1 after 3 hrs using [3H]NAD+ by scintillation proximity assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1153247,1,Scientific Literature,Bioorg Med Chem Lett,2010,None,,,,"6.0,,,,,,,,,,,,,,,"
CHEMBL611058,,None,310.36,0,1.85,40,CNCc1ccc(-n2cc3c(OC)ccc(C(N)=O)c3n2)cc1,IC50,'>',1000.0,nM,,,,UO_0000065,,,,,0,CHEMBL1065327,Inhibition of human PARP1 after 3 hrs using [3H]NAD+ by scintillation proximity assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1153247,1,Scientific Literature,Bioorg Med Chem Lett,2010,None,,,,"1000.0,,,,,,,,,,,,,,,"
CHEMBL593855,,None,316.31,0,2.12,39,CNCc1ccc(-n2cc3c(F)c(F)cc(C(N)=O)c3n2)cc1,IC50,'=',25.0,nM,7.60,,,UO_0000065,24.03,0.45,5.48,10.42,0,CHEMBL1065327,Inhibition of human PARP1 after 3 hrs using [3H]NAD+ by scintillation proximity assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1153247,1,Scientific Literature,Bioorg Med Chem Lett,2010,None,,,,"25.0,,,,,,,,,,,,,,,"
CHEMBL593828,,None,310.36,0,1.85,30,CNCc1ccc(-n2cc3cccc(C(N)=O)c3n2)cc1OC,IC50,'=',4.0,nM,8.40,,,UO_0000065,27.06,0.50,6.55,10.22,0,CHEMBL1065327,Inhibition of human PARP1 after 3 hrs using [3H]NAD+ by scintillation proximity assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1153247,1,Scientific Literature,Bioorg Med Chem Lett,2010,None,,,,"4.0,,,,,,,,,,,,,,,"
CHEMBL596144,,None,363.42,0,1.56,14,NC(=O)c1cccc2cn(-c3cccc(C(=O)N4CCCNCC4)c3)nc12,IC50,'=',40.0,nM,7.40,,,UO_0000065,20.36,0.37,5.84,7.93,0,CHEMBL1065327,Inhibition of human PARP1 after 3 hrs using [3H]NAD+ by scintillation proximity assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1153247,1,Scientific Literature,Bioorg Med Chem Lett,2010,None,,,,"40.0,,,,,,,,,,,,,,,"
CHEMBL3291317,,None,416.50,0,1.52,17g,CC(C)S(=O)(=O)N1CCN(C(=O)c2cc3[nH]c(=O)c4ccccc4c3n2C)CC1,IC50,'=',600.0,nM,6.22,,,UO_0000065,14.94,0.29,4.70,6.52,0,CHEMBL3295803,Inhibition of human recombinant PARP-1 after 1 hr by ELISA,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL3286212,1,Scientific Literature,Bioorg Med Chem Lett,2014,None,,,,"0.6,,,,,,,,,,,,,,,"
CHEMBL3105881,,None,255.25,0,2.77,1g,NC(=O)n1ccc2ccc(-c3ccccc3F)nc21,IC50,'=',3000.0,nM,5.52,,,UO_0000065,21.64,0.40,2.75,9.07,0,CHEMBL3107467,Inhibition of recombinant human GST-fused PARP-1 expressed in Escherichia coli after 30 mins by fluorescence assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL3102753,1,Scientific Literature,Bioorg Med Chem,2014,None,,,,"3.0,,,,,,,,,,,,,,,"
CHEMBL127101,,None,266.30,0,3.32,7e,COc1ccc(-c2nc(O)c3cccc(C)c3n2)cc1,IC50,'=',891.0,nM,6.05,,,UO_0000065,22.72,0.41,2.73,10.95,0,CHEMBL3102113,Inhibition of PARP1 (unknown origin) after 1 hr by spectrophotometry,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL3098040,1,Scientific Literature,ACS Med Chem Lett,2013,None,,,,"891.0,,,,,,,,,,,,,,,"
CHEMBL3113566,,None,291.31,0,2.34,9,C#CCOc1ccc(-c2nc3c(C(N)=O)cccc3[nH]2)cc1,IC50,'=',25.8,nM,7.59,,,UO_0000065,26.05,0.47,5.25,9.37,0,CHEMBL3117504,Inhibition of PARP-1 (unknown origin) assessed as NAD+ consumption after 20 mins by fluorometric analysis in presence of activated DNA,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL3112532,1,Scientific Literature,Bioorg Med Chem,2014,None,,,,"25.8,,,,,,,,,,,,,,,"
CHEMBL245359,,None,473.55,0,4.91,29,CC(C)(C)C(=O)OCc1nc(-c2ccc3[nH]c4c5c(c6c(c4c3c2)C(=O)NC6=O)CCC5)cs1,IC50,'=',60.0,nM,7.22,,,UO_0000065,15.25,0.29,2.31,7.14,0,CHEMBL901413,Inhibition of human recombinant PARP1 in U251MG cells by CometAssay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,U-251,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1138399,1,Scientific Literature,Bioorg Med Chem Lett,2007,CHEMBL3307756,,,,"60.0,,,,,,,,,,,,,,,"
CHEMBL391402,,None,522.59,2,5.24,16,O=C(NCc1nc(-c2ccc3[nH]c4c5c(c6c(c4c3c2)C(=O)NC6=O)CCC5)cs1)OCc1ccccc1,IC50,'=',20.0,nM,7.70,,,UO_0000065,14.73,0.28,2.46,6.80,0,CHEMBL901413,Inhibition of human recombinant PARP1 in U251MG cells by CometAssay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,U-251,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1138399,1,Scientific Literature,Bioorg Med Chem Lett,2007,CHEMBL3307756,,,,"20.0,,,,,,,,,,,,,,,"
CHEMBL246128,,None,458.54,0,4.09,11,CC(C)C(=O)NCc1nc(-c2ccc3[nH]c4c5c(c6c(c4c3c2)C(=O)NC6=O)CCC5)cs1,IC50,'=',32.0,nM,7.50,,,UO_0000065,16.35,0.31,3.40,7.21,0,CHEMBL901413,Inhibition of human recombinant PARP1 in U251MG cells by CometAssay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,U-251,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1138399,1,Scientific Literature,Bioorg Med Chem Lett,2007,CHEMBL3307756,,,,"32.0,,,,,,,,,,,,,,,"
CHEMBL246396,,None,430.49,0,3.45,8,CC(=O)NCc1nc(-c2ccc3[nH]c4c5c(c6c(c4c3c2)C(=O)NC6=O)CCC5)cs1,IC50,'=',20.0,nM,7.70,,,UO_0000065,17.88,0.34,4.25,7.41,0,CHEMBL901413,Inhibition of human recombinant PARP1 in U251MG cells by CometAssay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,U-251,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1138399,1,Scientific Literature,Bioorg Med Chem Lett,2007,CHEMBL3307756,,,,"20.0,,,,,,,,,,,,,,,"
CHEMBL188949,,None,271.36,0,2.75,18,Oc1nc(CCCN2CCCCC2)nc2ccccc12,IC50,'=',1100.0,nM,5.96,,,UO_0000065,21.96,0.41,3.21,12.10,0,CHEMBL833529,In vitro inhibitory concentration against human recombinant Poly (ADP-ribose) polymerase 1,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1137205,1,Scientific Literature,J Med Chem,2004,None,,,,"1100.0,,,,,,,,,,,,,,,"
CHEMBL569363,,None,309.37,0,1.51,6,O=C1NCCc2c1ccc1[nH]cc(CCNCc3cn[nH]c3)c21,IC50,'=',340.0,nM,6.47,,,UO_0000065,20.91,0.38,4.96,7.56,0,CHEMBL1060805,Inhibition of PARP1 in human HeLa cells by microplate scintillation counting,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1153049,1,Scientific Literature,Bioorg Med Chem Lett,2009,CHEMBL3308376,,,,"340.0,,,,,,,,,,,,,,,"
CHEMBL562331,,None,340.43,0,1.06,10,CN1CCC(C(=O)NCCc2c[nH]c3ccc4c(c23)CCNC4=O)C1,IC50,'=',53.0,nM,7.28,,,UO_0000065,21.37,0.40,6.22,9.42,0,CHEMBL1060805,Inhibition of PARP1 in human HeLa cells by microplate scintillation counting,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1153049,1,Scientific Literature,Bioorg Med Chem Lett,2009,CHEMBL3308376,,,,"53.0,,,,,,,,,,,,,,,"
CHEMBL563634,,None,418.50,0,1.82,14,O=C1NCCc2c1ccc1[nH]cc(CCNC(=O)C3CCN(c4ncccn4)CC3)c21,IC50,'=',120.0,nM,6.92,,,UO_0000065,16.54,0.30,5.10,6.72,0,CHEMBL1060805,Inhibition of PARP1 in human HeLa cells by microplate scintillation counting,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HeLa,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1153049,1,Scientific Literature,Bioorg Med Chem Lett,2009,CHEMBL3308376,,,,"120.0,,,,,,,,,,,,,,,"
CHEMBL5400911,,None,391.39,0,2.73,44,Cn1c(COc2cccc3c(=O)[nH]nc(Cc4ccccc4)c23)cnc1[N+](=O)[O-],IC50,'=',50.2,nM,7.30,,,UO_0000065,18.65,0.34,4.57,6.30,0,CHEMBL5329523,Inhibition of C-terminal His-tagged human recombinant PARP-1 (1 to 1014 residues) expressed in Sf9 insect cells incubated for 1 hr by 32P-NAD+-based filter binding assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL5329157,1,Scientific Literature,RSC Med Chem,2023,None,TIME = 1.0 hr,INHIBITOR,,"50.2,,,,,,,,,,,,,,,"
CHEMBL5396891,,None,522.36,1,3.28,16,NC(=O)c1cccc2[nH]c(-c3ccc(C(=O)N4CCN(C(=O)c5ccc(Br)o5)CC4)cc3)nc12,IC50,'=',0.023,nM,10.64,,,UO_0000065,20.37,0.43,7.36,8.47,0,CHEMBL5362173,Inhibition of PARP1 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL5360556,1,Scientific Literature,Eur J Med Chem,2023,None,,INHIBITOR,,"0.023,,,,,,,,,,,,,,,"
CHEMBL5428997,,None,322.30,0,-0.34,22a,Cc1cc(O)nn1S(=O)(=O)c1ccc2[nH]c(=O)c(=O)[nH]c2c1,IC50,'=',8.73,nM,8.06,,,UO_0000065,25.00,0.50,8.40,5.84,0,CHEMBL5362179,Inhibition of PARP1 CD (unknown origin) by colorimetric assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL5360556,1,Scientific Literature,Eur J Med Chem,2023,None,,INHIBITOR,,"8.73,,,,,,,,,,,,,,,"
CHEMBL5411930,,None,501.55,1,0.99,23c,CC(=O)C1=C(C)N(C(=O)c2ccccc2)C(NNS(=O)(=O)c2ccc3[nH]c(=O)c(=O)[nH]c3c2)S1,IC50,'=',8.25,nM,8.08,,,UO_0000065,16.12,0.32,7.09,5.01,0,CHEMBL5362179,Inhibition of PARP1 CD (unknown origin) by colorimetric assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL5360556,1,Scientific Literature,Eur J Med Chem,2023,None,,INHIBITOR,,"8.25,,,,,,,,,,,,,,,"
CHEMBL5208297,,None,412.45,0,3.20,1-8-7,NC(=O)/C=C/c1ccc(COc2ccc(-n3cc4cccc(C(N)=O)c4n3)cc2)cc1,IC50,'=',227.0,nM,6.64,,,UO_0000065,16.11,0.29,3.44,5.87,0,CHEMBL5116320,Inhibition of PARP-1 derived from human HeLa cell nucleus,B,BAO_0000220,subcellular format,Homo sapiens,None,None,HeLa,Nucleus,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL5113426,1,Scientific Literature,Bioorg Med Chem Lett,2022,None,,INHIBITOR,,"227.0,,,,,,,,,,,,,,,"
CHEMBL5204747,,None,671.72,1,4.11,18,C=C1C(=O)OC2C[C@@]3(C)CCC=C(COC(=O)COCCOCCNC(=O)c4cc(Cc5n[nH]c(=O)c6ccccc56)ccc4F)C3=CC12,IC50,'=',38.6,nM,7.41,,,UO_0000065,11.04,0.21,3.30,5.08,0,CHEMBL5117387,Inhibition of human recombinant PARP1 in presence of NAD+ by ELISA,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL5113471,1,Scientific Literature,Eur J Med Chem,2022,None,,INHIBITOR,,"38.6,,,,,,,,,,,,,,,"
